    n    | lin. iskanje | bin. iskanje | rek. bin. iskanje
   20000 |      8539    |      475     |      458
   40000 |      4820    |      336     |      341
   60000 |      6983    |      187     |      196
   80000 |      9054    |      187     |      202
  100000 |     12273    |      201     |      208
  120000 |     15486    |      229     |      246
  140000 |     16484    |      286     |      271
  160000 |     17876    |      215     |      227
  180000 |     20662    |      235     |      213
  200000 |     25707    |      258     |      280
  220000 |     33474    |      266     |      279
  240000 |     41236    |      290     |      279
  260000 |     34740    |      221     |      227
  280000 |     32754    |      265     |      264
  300000 |     35572    |      233     |      238
  320000 |     32996    |      221     |      246
  340000 |     37147    |      228     |      225
  360000 |     40455    |      265     |      228
  380000 |     39401    |      226     |      242
  400000 |     41645    |      222     |      227
  420000 |     49089    |      207     |      218
  440000 |     45797    |      223     |      231
  460000 |     50550    |      222     |      218
  480000 |     49566    |      215     |      218
  500000 |     55236    |      210     |      223
  520000 |     55367    |      222     |      220
  540000 |     55261    |      227     |      254
  560000 |     57286    |      213     |      222
  580000 |     62199    |      220     |      222
  600000 |     62332    |      212     |      219
  620000 |     63873    |      214     |      231
  640000 |     67345    |      226     |      229
  660000 |     67519    |      212     |      223
  680000 |     68475    |      229     |      231
  700000 |     73753    |      273     |      253
  720000 |     74880    |      215     |      233
  740000 |     78871    |      227     |      240
  760000 |     75254    |      225     |      236
  780000 |     78564    |      229     |      237
  800000 |     80717    |      226     |      231
  820000 |     82697    |      231     |      238
  840000 |     87821    |      231     |      234
  860000 |     87149    |      213     |      229
  880000 |     85134    |      224     |      238
  900000 |     96442    |      224     |      245
  920000 |     91645    |      225     |      232
  940000 |     96085    |      217     |      224
  960000 |     96012    |      225     |      230
  980000 |     99232    |      239     |      230
 1000000 |     97273    |      226     |      236
